CATALOG NUMBER,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,COLLECTOR(S),COLLECTING DATE,SEX,PREPS
MO-6969,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,5-Jul-94,Female,"Skull
Skin "
MO-6970,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Male,"Skull
Skin "
MO-6971,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Male,"Skull
Skin "
MO-6972,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MO-6973,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MO-6974,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MO-6975,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MO-6976,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MO-6977,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skull
Skin "
MO-6978,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skull
Skin "
MO-6979,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skull
Skin "
MO-6980,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Male,"Skull
Skin "
MO-7033,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,11-Jun-94,Male,"Skull
Skin "
MO-7034,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,11-Jun-94,Male,"Skull
Skin "
MO-7035,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,15-Jun-94,Male,"Skull
Skin "
MO-7036,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,15-Jun-94,Male,"Skull
Skin "
MO-7037,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,16-Jun-94,Male,"Skull
Skin "
MO-7038,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,16-Jun-94,Male,"Skull
Skin "
MO-7039,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,17-Jun-94,Female,"Skull
Skin "
MO-7040,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",19-Jun-94,Male,"Skull
Skin "
MO-7041,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",19-Jun-94,Female,"Skull
Skin "
MO-7042,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",21-Jun-94,Female,"Skull
Skin "
MO-7043,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",21-Jun-94,Male,"Skull
Skin "
MO-7044,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",21-Jun-94,Male,"Skull
Skin "
MO-7045,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",21-Jun-94,Female,"Skull
Skin "
MO-7046,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Male,"Skull
Skin "
MO-7047,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Male,"Skull
Skin "
MO-7048,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Female,"Skull
Skin "
MO-7049,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",22-Jun-94,Female,"Skull
Skin "
MO-7051,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Male,"Skull
Skin "
MO-7052,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Male,"Skull
Skin "
MO-7053,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Male,"Skull
Skin "
MO-7054,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Male,"Skull
Skin "
MO-7055,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Male,"Skull
Skin "
MO-7056,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",23-Jun-94,Female,"Skull
Skin "
MO-7057,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",24-Jun-94,Male,"Skull
Skin "
MO-7058,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",24-Jun-94,Male,"Skull
Skin "
MO-7059,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",24-Jun-94,Female,"Skull
Skin "
MO-7060,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",25-Jun-94,Male,"Skull
Skin "
MO-7061,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Female,"Skull
Skin "
MO-7062,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Female,"Skull
Skin "
MO-7063,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Female,"Skull
Skin "
MO-7064,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Sex Unknown,"Skull
Skin "
MO-7065,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",26-Jun-94,Male,"Skull
Skin "
MO-7066,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",27-Jun-94,Male,"Skull
Skin "
MO-7067,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",27-Jun-94,Female,"Skull
Skin "
MO-7068,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",28-Jun-94,Male,"Skull
Skin "
MO-7069,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",28-Jun-94,Male,"Skull
Skin "
MO-7070,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",28-Jun-94,Male,"Skull
Skin "
MO-7071,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Male,"Skull
Skin "
MO-7072,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Male,"Skull
Skin "
MO-7073,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Male,"Skull
Skin "
MO-7074,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Male,"Skull
Skin "
MO-7075,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Sex Unknown,"Skull
Skin "
MO-7076,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Sex Unknown,"Skull
Skin "
MO-7077,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",30-Jun-94,Male,"Skull
Skin "
MO-7078,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",30-Jun-94,Male,"Skull
Skin "
MO-7079,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",29-Jun-94,Sex Unknown,"Skull
Skin "
MO-7080,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",30-Jun-94,Male,"Skull
Skin "
MO-7081,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",30-Jun-94,Female,"Skin
Skull "
MO-7082,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",1-Jul-94,Female,"Skull
Skin "
MO-7083,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",2-Jul-94,Male,"Skull
Skin "
MO-7084,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",2-Jul-94,Male,"Skull
Skin "
MO-7085,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",2-Jul-94,Female,"Skull
Skin "
MO-7086,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",2-Jul-94,Female,"Skull
Skin "
MO-7087,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MO-7088,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skull
Skin "
MO-7089,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MO-7090,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Sex Unknown,"Skull
Skin "
MO-7091,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Female,"Skull
Skin "
MO-7092,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MO-7093,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MO-7094,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,21-Mar-94,Female,"Skull
Skin "
MO-7095,Neotoma mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,15-Jun-94,Female,"Skull
Skin "
MO-7096,Neotoma mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,17-Jun-94,Female,"Skull
Skin "
MO-7097,Neotoma mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,"William W. Price
B. C. Condit",27-Jun-94,Male,"Skull
Skin "
MO-7098,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Female,"Skull
Skin "
MO-7142,Reithrodontomys megalotis arizonensis,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Female,"Skull
Skin "
MO-7143,Reithrodontomys megalotis arizonensis,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MO-7363,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,William W. Price,1-Jun-94,Sex Unknown,"Skull
Skeleton "
MO-7832,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,1-Jul-94,Sex Unknown,Skull
MO-7833,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,1-Aug-94,Sex Unknown,Skull
MO-7837,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,16-Jul-94,Male,"Skull
Skin "
MO-7838,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,21-Jul-94,Male,"Skull
Skin "
MO-7839,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,24-Jul-94,Female,"Skull
Skin "
MO-7840,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,13-Jul-94,Male,"Skull
Skin "
MO-7841,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,21-Jul-94,Female,"Skull
Skin "
MO-7842,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,10-Aug-94,Male,"Skull
Skin "
MO-7843,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Chiricahua Mountains,Loye Miller,10-Aug-94,Male,"Skull
Skin "
MS-8627,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,14-Apr-94,Male,"Skin
Skull "
MS-8628,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,30-Apr-94,Male,"Skin
Skull "
MS-8629,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,29-May-94,Male,"Skin
Skull "
MS-8630,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,29-May-94,Female,"Skin
Skull "
MS-8631,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,30-May-94,Male,Skin
MS-8632,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,4-Jun-94,Male,"Skin
Skull "
MS-8633,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,4-Jun-94,Female,"Skin
Skull "
MS-8634,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,5-Jun-94,Female,"Skin
Skull "
MS-8635,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",24-Jun-94,Female,"Skull
Skin "
MS-8636,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jan-94,Female,"Skin
Skull "
MS-8637,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jan-94,Male,"Skin
Skull "
MS-8638,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jan-94,Female,"Skin
Skull "
MS-8639,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jan-94,Female,"Skin
Skull "
MS-8640,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Female,"Skin
Skull "
MS-8641,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Sex Unknown,"Skin
Skull "
MS-8642,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",30-Jun-94,Male,"Skull
Skin "
MS-8643,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jul-94,Male,"Skin
Skull "
MS-8644,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jul-94,Male,"Skin
Skull "
MS-8645,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jul-94,Male,"Skin
Skull "
MS-8646,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jul-94,Male,"Skin
Skull "
MS-8647,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,5-Jul-94,Male,"Skin
Skull "
MS-8648,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,5-Jul-94,Female,"Skin
Skull "
MS-8649,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Male,"Skin
Skull "
MS-8650,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,6-Jul-94,Male,"Skull
Skin "
MS-8651,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MS-8652,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skin
Skull "
MS-8653,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Male,"Skin
Skull "
MS-8654,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skin
Skull "
MS-8655,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,7-Jul-94,Female,"Skull
Skin "
MS-8656,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skull
Skin "
MS-8657,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skin
Skull "
MS-8658,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skin
Skull "
MS-8659,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,8-Jul-94,Male,"Skull
Skin "
MS-8725,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,11-Jun-94,Male,"Skin
Skull "
MS-8726,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,11-Jun-94,Male,"Skull
Skin "
MS-8727,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,15-Jun-94,Male,"Skin
Skull "
MS-8728,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,15-Jun-94,Male,"Skin
Skull "
MS-8729,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,16-Jun-94,Male,"Skull
Skin "
MS-8730,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,16-Jun-94,Male,"Skull
Skin "
MS-8731,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,W. W. Price,16-Jun-94,Female,"Skin
Skull "
MS-8732,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",19-Jun-94,Male,"Skull
Skin "
MS-8733,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",19-Jun-94,Female,"Skin
Skull "
MS-8734,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",21-Jun-94,Female,"Skull
Skin "
MS-8735,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",21-Jun-94,Male,"Skull
Skin "
MS-8736,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",21-Jun-94,Male,"Skin
Skull "
MS-8737,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",21-Jun-94,Female,"Skull
Skin "
MS-8738,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-May-94,Male,"Skin
Skull "
MS-8739,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-May-94,Male,"Skull
Skin "
MS-8740,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-May-94,Female,"Skin
Skull "
MS-8741,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",22-May-94,Female,"Skin
Skull "
MS-8742,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Male,"Skin
Skull "
MS-8743,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Male,"Skin
Skull "
MS-8744,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Male,"Skull
Skin "
MS-8745,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Male,"Skull
Skin "
MS-8746,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Male,"Skull
Skin "
MS-8747,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",23-Jun-94,Female,"Skull
Skin "
MS-8748,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",24-Jun-94,Male,"Skin
Skull "
MS-8749,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",24-Jun-94,Female,"Skull
Skin "
MS-8750,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",24-Jun-94,Female,"Skin
Skull "
MS-8751,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",25-Jun-94,Male,"Skin
Skull "
MS-8752,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skull
Skin "
MS-8753,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skin
Skull "
MS-8754,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skull
Skin "
MS-8755,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,B. C. Condit,9-Jul-94,Female,"Skin
Skull "
MS-8756,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Female,"Skull
Skin "
MS-8757,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Sex Unknown,"Skull
Skin "
MS-8758,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",26-Jun-94,Male,"Skin
Skull "
MS-8759,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",27-Jun-94,Male,"Skin
Skull "
MS-8760,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",27-Jun-94,Female,"Skin
Skull "
MS-8761,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Male,"Skin
Skull "
MS-8762,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Male,"Skull
Skin "
MS-8763,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",28-Jun-94,Male,"Skin
Skull "
MS-8764,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Male,"Skin
Skull "
MS-8765,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Male,"Skin
Skull "
MS-8766,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Male,"Skull
Skin "
MS-8767,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Male,"Skin
Skull "
MS-8768,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Sex Unknown,"Skull
Skin "
MS-8769,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Sex Unknown,"Skin
Skull "
MS-8770,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",30-Jun-94,Male,"Skin
Skull "
MS-8771,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",30-Jun-94,Male,"Skin
Skull "
MS-8772,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",29-Jun-94,Sex Unknown,"Skin
Skull "
MS-8773,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",30-Jun-94,Male,"Skull
Skin "
MS-8774,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",30-Jun-94,Female,"Skin
Skull "
MS-8775,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",1-Jul-94,Female,"Skin
Skull "
MS-8776,Peromyscus maniculatus rufinus,USA,Arizona,Cochise Co.,Chiricahua Mountains,"Price
Condit",3-Jul-94,Female,"Skin
Skull "
