Mountain,Max_Elevation,Area,Ruggedness_Mean,Ruggedness_SD,State,Country,Rodent_Specimens_Georeferenced_Last_Year_of_Collection,Rodent_Specimens_Georeferenced,Rodent_Specimens_Georeferenced_per_km,Rodent_Specimens_Nongeoreferenced,Shrew_Specimens_Georeferenced_Last_Year_of_Collection,Shrew_Specimens_Georeferenced,Shrew_Specimens_Georeferenced_per_km,Shrew_Specimens_Nongeoreferenced,Bat_Specimens_Georeferenced_Last_Year_of_Collection,Bat_Specimens_Georeferenced,Bat_Specimens_Georeferenced_per_km,Bat_Specimens_Nongeoreferenced,All_Specimens_Georeferenced,All_Specimens_Georeferened_per_km,All_Specimens_Nongeoreferenced,Oak_Woodland_Area,Pine_Oak_Area,Pine_Forest_Area,Mixed_Conifer_Area,Limber_Alpine_Forest_Area
Rincon,2646,264.097677,4.707938174,0.6864771613,AZ,USA,2001,133,0.5036,100,2001,5,0.0189,0,2002,30,0.1136,3,168,0.636128276,103,112.786568,118.9068044,30.01217673,2.392127779,0
San Luis,2515,1722.444152,4.603798213,0.7577501562,"SO, NM, CH",Mexico,1978,96,0.0557,53,No_record,0,0,1,1974,54,0.0314,1,150,0.087085552,55,745.4431613,929.6536778,47.3473127,0,0
Santa Catalina,2806,414.7776996,4.841119314,0.6359594545,AZ,USA,2023,801,1.9312,241,2022,11,0.0265,3,2011,78,0.1881,38,890,2.145727701,282,145.3405174,188.975284,72.85256561,7.609332602,0
Santa Rita,2869,341.7694028,4.557107962,0.8796930453,AZ,USA,2003,320,0.9363,257,No_record,0,0,21,1976,136,0.3979,50,456,1.334232955,328,201.2753701,114.2243992,22.71515604,3.55447733,0
Santa Teresa,2497,327.7559798,4.767212981,0.5686766848,AZ,USA,1973,2,0.0061,0,No_record,0,0,0,1958,2,0.0061,0,4,0.012204201,0,185.9537443,136.5166198,5.28561576,0,0
Sierra Aconchi,2190,37.42659921,4.705106583,0.7736549836,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,25.6247053,11.80189391,0,0,0
Sierra Avispas,1746,5.387548255,4.277433406,1.193926264,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,5.387548255,0,0,0,0
Sierra Azul,2452,296.5449343,4.54454303,0.8656374417,SO,Mexico,No_record,0,0,1,No_record,0,0,0,No_record,0,0,0,0,0,1,242.6537568,51.50466359,2.386513971,0,0
Sierra Buenos Aires,2474,94.69515322,4.674168678,0.7894687436,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,59.72095701,30.05762855,4.916567659,0,0
Sierra Chivato,2195,192.4263192,4.204527211,1.020414131,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,162.3065626,30.11975659,0,0,0
Sierra Cibuta,2079,43.71594419,4.660472148,0.8744885025,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,36.72982061,6.986123578,0,0,0
Sierra de Embudos,1921,24.3085781,4.617445959,0.8626770617,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,21.25206398,3.056514123,0,0,0
Sierra de los Ajos,2616,719.6368287,4.556359324,0.816164764,SO,Mexico,1965,8,0.0111,0,No_record,0,0,0,1958,81,0.1126,0,89,0.123673493,0,415.0769743,275.5842854,28.70709095,0.268477974,0
Sierra de Oposura,2345,133.7911075,4.753562428,0.7212117795,SO,Mexico,No_record,0,0,55,No_record,0,0,0,No_record,0,0,0,0,0,55,78.54770871,51.70833286,3.535065895,0,0
Sierra El Jacaral,1908,28.69531495,4.518869187,1.02262557,SO,Mexico,No_record,0,0,0,No_record,0,0,0,No_record,0,0,0,0,0,0,27.02966165,1.665653294,0,0,0
